Designator,Comment,Layer,Footprint,Center-X(mm),Center-Y(mm),Rotation,Description,Ref-X(mm),Ref-Y(mm),Pad-X(mm),Pad-Y(mm)
C3,100nF 50V,TopLayer,C0402_L,31.0388mm,73.8814mm,90,无极性贴片电容,31.0388mm,73.8814mm,31.0388mm,73.4314mm
C2,100nF 50V,TopLayer,C0402_L,11.0490mm,43.1546mm,270,无极性贴片电容,11.0490mm,43.1546mm,11.0490mm,43.6046mm
C1,100nF 50V,TopLayer,C0402_L,25.0444mm,70.4088mm,270,无极性贴片电容,25.0444mm,70.4088mm,25.0444mm,70.8588mm
LED8,green,BottomLayer,LED_0805G,2.6416mm,67.5615mm,90,插件LED,2.6417mm,67.5616mm,2.6416mm,66.6115mm
LED7,blue,BottomLayer,LED_0805B,2.6417mm,73.7871mm,270,插件LED,2.6416mm,73.7870mm,2.6417mm,74.7371mm
LED6,green,BottomLayer,LED_0805G,2.6416mm,39.5080mm,90,插件LED,2.6417mm,39.5081mm,2.6416mm,38.5580mm
LED5,blue,BottomLayer,LED_0805B,2.6417mm,45.7336mm,270,插件LED,2.6416mm,45.7335mm,2.6417mm,46.6836mm
LED4,green,BottomLayer,LED_0805G,2.6416mm,11.3653mm,90,插件LED,2.6417mm,11.3654mm,2.6416mm,10.4153mm
LED3,blue,BottomLayer,LED_0805B,2.6417mm,17.5909mm,270,插件LED,2.6416mm,17.5908mm,2.6417mm,18.5409mm
J3,SATA15P,BottomLayer,SATA_15P_贴片,33.1812mm,9.2286mm,180,,51.9612mm,8.4786mm,13.9612mm,8.4786mm
J2,SATA15P,BottomLayer,SATA_15P_贴片,33.1812mm,37.3713mm,180,,51.9612mm,36.6213mm,13.9612mm,36.6213mm
J1,SATA15P,BottomLayer,SATA_15P_贴片,33.1812mm,65.4448mm,180,,51.9612mm,64.6948mm,13.9612mm,64.6948mm
